"organization_id","shop_name","farmer_description","region","category","name_product","product_id","product_description","url_product","url_farmer"
"10060","Экоферма ОГО-РОД","Выращиваем фрукты и ягоды в Подмосковье.Наша ферма располагается в деревне Лукино Серпуховского района. В нашем распоряжении 3 га земли, в будущем планируем засадить большую часть этого пространства яблоневыми деревьями. На данный момент у нас уже растет более 300 яблонь, а также кусты малины, смородины, ежевики. Мы очень бережно относимся к нашим яблоням, из плодов которых создаем натуральные продукты для вас. Наша ферма также предоставляет возможность для агротуризма, где все желающие могут побыть наедине с природой, а также узнать много нового об уходе за растениями. ","Москва","Бакалея","Травяной сбор ""Лаванда цветы""","153259","Окунитесь в мир спокойствия и ароматерапии с нашими нежными цветками лаванды. Собранные вручную в период их максимального цветения и бережно высушенные, они сохранили свой неповторимый, успокаивающий аромат и насыщенный фиолетовый цвет._x000D_
_x000D_
Лаванда также прекрасно подходит для приготовления ароматного чая, который успокаивает нервную систему и помогает справиться с тревожностью. А еще, вы можете использовать цветки лаванды в кулинарии, добавляя их в выпечку, десерты или напитки, чтобы придать им неповторимый вкус и аромат._x000D_
_x000D_
Мы заботимся о Вашем здоровье, поэтому каждая упаковка наполнена отборными цветками лаванды, выращенными без использования химических удобрений и пестицидов.","https://svoe-rodnoe.ru/category/organicheskie-produkty/10060-123345678-travjanoj-sbor-lavanda-cvety","https://svoe-rodnoe.ru/farmers/10060"
"10060","Экоферма ОГО-РОД","Выращиваем фрукты и ягоды в Подмосковье.Наша ферма располагается в деревне Лукино Серпуховского района. В нашем распоряжении 3 га земли, в будущем планируем засадить большую часть этого пространства яблоневыми деревьями. На данный момент у нас уже растет более 300 яблонь, а также кусты малины, смородины, ежевики. Мы очень бережно относимся к нашим яблоням, из плодов которых создаем натуральные продукты для вас. Наша ферма также предоставляет возможность для агротуризма, где все желающие могут побыть наедине с природой, а также узнать много нового об уходе за растениями. ","Москва","Бакалея","Травяной сбор ""Ромашка головки""","153261","Заварите чашку ароматного ромашкового чая, чтобы расслабиться после тяжелого дня, создать уютную атмосферу перед сном или просто насладиться моментом тишины и покоя. Ромашка обладает сильным успокаивающим свойством, благотворно влияет на нервную систему, помогает бороться с бессонницей. Ромашка также может использоваться в качестве натурального средства для ухода за кожей, смягчая и успокаивая раздражения._x000D_
_x000D_
В каждой упаковке – тщательно отобранные головки ромашки, выращенные без использования химических удобрений и пестицидов, чтобы подарить вам только самое лучшее от природы._x000D_
","https://svoe-rodnoe.ru/category/organicheskie-produkty/10060-123455678-travjanoj-sbor-romashka-golovki","https://svoe-rodnoe.ru/farmers/10060"
"10060","Экоферма ОГО-РОД","Выращиваем фрукты и ягоды в Подмосковье.Наша ферма располагается в деревне Лукино Серпуховского района. В нашем распоряжении 3 га земли, в будущем планируем засадить большую часть этого пространства яблоневыми деревьями. На данный момент у нас уже растет более 300 яблонь, а также кусты малины, смородины, ежевики. Мы очень бережно относимся к нашим яблоням, из плодов которых создаем натуральные продукты для вас. Наша ферма также предоставляет возможность для агротуризма, где все желающие могут побыть наедине с природой, а также узнать много нового об уходе за растениями. ","Москва","Бакалея","Уксус яблочный с базиликом","154340","Наш яблочный уксус произведен из натуральных свежих яблок (сорта Лигол, Хани крисп, Карамельная, Антоновка) без добавления сахара, консервантов, красителей, усилителей вкуса, ароматизаторов и любых других химических компонентов. _x000D_
_x000D_
Польза яблочного уксуса:_x000D_
- укрепляет иммунитет и повышает защитные силы человека_x000D_
_x000D_
- мягко очищает организм и выводит шлаки, токсины и прочие вредные и ненужные вещества_x000D_
_x000D_
- является натуральным спазмолитиком, антисептиком и природным мочегонным средством_x000D_
_x000D_
- помогает нормализовать обменные процессы, улучшает работу желудка и кишечника, предотвращает запоры и другие проблемы с пищеварением_x000D_
_x000D_
- повышает эластичность стенок сосудов и помогает понизить количество вредного холестерина в крови","https://svoe-rodnoe.ru/category/organicheskie-produkty/10060-111-uksus-jablochnyj-s-bazilikom","https://svoe-rodnoe.ru/farmers/10060"
"10060","Экоферма ОГО-РОД","Выращиваем фрукты и ягоды в Подмосковье.Наша ферма располагается в деревне Лукино Серпуховского района. В нашем распоряжении 3 га земли, в будущем планируем засадить большую часть этого пространства яблоневыми деревьями. На данный момент у нас уже растет более 300 яблонь, а также кусты малины, смородины, ежевики. Мы очень бережно относимся к нашим яблоням, из плодов которых создаем натуральные продукты для вас. Наша ферма также предоставляет возможность для агротуризма, где все желающие могут побыть наедине с природой, а также узнать много нового об уходе за растениями. ","Москва","Бакалея","Фруктовый чай ""Аюрведа. Духовная энергия""","153250","Ароматный чай, в составе которого только натуральные ингредиенты, что делает его не только вкусным, но и полезным. Наш чай - замечательный способ расслабиться, забыть на время о проблемах и заботах, наслаждаясь насыщенным вкусом. Также может стать отличным подарком, который придется по душе каждому.","https://svoe-rodnoe.ru/category/organicheskie-produkty/10060-12234567-fruktovyj-chaj-ajurveda-duhovnaja-jenergija","https://svoe-rodnoe.ru/farmers/10060"
"10060","Экоферма ОГО-РОД","Выращиваем фрукты и ягоды в Подмосковье.Наша ферма располагается в деревне Лукино Серпуховского района. В нашем распоряжении 3 га земли, в будущем планируем засадить большую часть этого пространства яблоневыми деревьями. На данный момент у нас уже растет более 300 яблонь, а также кусты малины, смородины, ежевики. Мы очень бережно относимся к нашим яблоням, из плодов которых создаем натуральные продукты для вас. Наша ферма также предоставляет возможность для агротуризма, где все желающие могут побыть наедине с природой, а также узнать много нового об уходе за растениями. ","Москва","Бакалея","Фруктовый чай ""Глинтвейн""","153249","Ароматный чай, в составе которого только натуральные ингредиенты, что делает его не только вкусным, но и полезным. Наш чай - замечательный способ расслабиться, забыть на время о проблемах и заботах, наслаждаясь насыщенным вкусом. Также может стать отличным подарком, который придется по душе каждому.","https://svoe-rodnoe.ru/category/organicheskie-produkty/10060-11234567-fruktovyj-chaj-glintvejn","https://svoe-rodnoe.ru/farmers/10060"
"10060","Экоферма ОГО-РОД","Выращиваем фрукты и ягоды в Подмосковье.Наша ферма располагается в деревне Лукино Серпуховского района. В нашем распоряжении 3 га земли, в будущем планируем засадить большую часть этого пространства яблоневыми деревьями. На данный момент у нас уже растет более 300 яблонь, а также кусты малины, смородины, ежевики. Мы очень бережно относимся к нашим яблоням, из плодов которых создаем натуральные продукты для вас. Наша ферма также предоставляет возможность для агротуризма, где все желающие могут побыть наедине с природой, а также узнать много нового об уходе за растениями. ","Москва","Бакалея","Фруктовый чай ""Мохито""","153256","Ароматный чай, в составе которого только натуральные ингредиенты, что делает его не только вкусным, но и полезным. Наш чай - замечательный способ расслабиться, забыть на время о проблемах и заботах, наслаждаясь насыщенным вкусом. Также может стать отличным подарком, который придется по душе каждому.","https://svoe-rodnoe.ru/category/organicheskie-produkty/10060-12345678-fruktovyj-chaj-mohito","https://svoe-rodnoe.ru/farmers/10060"
"10060","Экоферма ОГО-РОД","Выращиваем фрукты и ягоды в Подмосковье.Наша ферма располагается в деревне Лукино Серпуховского района. В нашем распоряжении 3 га земли, в будущем планируем засадить большую часть этого пространства яблоневыми деревьями. На данный момент у нас уже растет более 300 яблонь, а также кусты малины, смородины, ежевики. Мы очень бережно относимся к нашим яблоням, из плодов которых создаем натуральные продукты для вас. Наша ферма также предоставляет возможность для агротуризма, где все желающие могут побыть наедине с природой, а также узнать много нового об уходе за растениями. ","Москва","Бакалея","Фруктовый чай ""Рецепт долголетия""","153252","Ароматный чай, в составе которого только натуральные ингредиенты, что делает его не только вкусным, но и полезным. Наш чай - замечательный способ расслабиться, забыть на время о проблемах и заботах, наслаждаясь насыщенным вкусом. Также может стать отличным подарком, который придется по душе каждому.","https://svoe-rodnoe.ru/category/organicheskie-produkty/10060-12344567-fruktovyj-chaj-recept-dolgoletija","https://svoe-rodnoe.ru/farmers/10060"
"10060","Экоферма ОГО-РОД","Выращиваем фрукты и ягоды в Подмосковье.Наша ферма располагается в деревне Лукино Серпуховского района. В нашем распоряжении 3 га земли, в будущем планируем засадить большую часть этого пространства яблоневыми деревьями. На данный момент у нас уже растет более 300 яблонь, а также кусты малины, смородины, ежевики. Мы очень бережно относимся к нашим яблоням, из плодов которых создаем натуральные продукты для вас. Наша ферма также предоставляет возможность для агротуризма, где все желающие могут побыть наедине с природой, а также узнать много нового об уходе за растениями. ","Москва","Бакалея","Чай ""Дыня Клубника""","153234","Ароматный чай, в составе которого только натуральные ингредиенты, что делает его не только вкусным, но и полезным. Наш чай - замечательный способ расслабиться, забыть на время о проблемах и заботах, наслаждаясь насыщенным вкусом. Также может стать отличным подарком, который придется по душе каждому.","https://svoe-rodnoe.ru/category/organicheskie-produkty/10060-1123456-chaj-dynja-klubnika","https://svoe-rodnoe.ru/farmers/10060"
"10060","Экоферма ОГО-РОД","Выращиваем фрукты и ягоды в Подмосковье.Наша ферма располагается в деревне Лукино Серпуховского района. В нашем распоряжении 3 га земли, в будущем планируем засадить большую часть этого пространства яблоневыми деревьями. На данный момент у нас уже растет более 300 яблонь, а также кусты малины, смородины, ежевики. Мы очень бережно относимся к нашим яблоням, из плодов которых создаем натуральные продукты для вас. Наша ферма также предоставляет возможность для агротуризма, где все желающие могут побыть наедине с природой, а также узнать много нового об уходе за растениями. ","Москва","Овощи и фрукты","Клубника сублимированная","151363","Процесс сублимации происходит в два этапа: сначала свежие ягоды подвергаются сильной заморозке, а затем помещаются в сублимационную камеру, где они подвергаются сушке в полном вакууме. Отличие от обычного высушивания в том, что после сублимации при таком же долгом сроке хранения ягоды не теряют своих полезных свойств._x000D_
Преимущества сублимированных ягод:_x000D_
- В зимний период, когда свежие ягоды трудно достать, сублимация - отличный выход. Сублимированная малина сохраняет вкус и пользу свежей ягоды, но при этом хранится 12 месяцев, что позволяет насладиться любимым вкусом в любое время года._x000D_
- Так как при сублимации НЕ используется сахар и вредные добавки, сублимированная малина относится к натуральным сладостям и отлично подходит людям, предпочитающим только натуральную продукцию._x000D_
_x000D_
Мы очень бережно относимся к нашим клиентам, поэтому используем только качественное сырье, без добавления химии, чтобы подготовить для вас не только вкусную, но и полезную продукцию.","https://svoe-rodnoe.ru/category/dried-fruits/10060-1234-klubnika-sublimrovannaja","https://svoe-rodnoe.ru/farmers/10060"
"10060","Экоферма ОГО-РОД","Выращиваем фрукты и ягоды в Подмосковье.Наша ферма располагается в деревне Лукино Серпуховского района. В нашем распоряжении 3 га земли, в будущем планируем засадить большую часть этого пространства яблоневыми деревьями. На данный момент у нас уже растет более 300 яблонь, а также кусты малины, смородины, ежевики. Мы очень бережно относимся к нашим яблоням, из плодов которых создаем натуральные продукты для вас. Наша ферма также предоставляет возможность для агротуризма, где все желающие могут побыть наедине с природой, а также узнать много нового об уходе за растениями. ","Москва","Сладости","Мармелад грейпфрут ","168070","В составе пюре из свежих фруктов и ягод, за основу взят пектин, то есть наш мармелад постный, а значит подходит в том числе веганам. При приготовлении нашего мармелада используются только свежие фрукты и ягоды, что придает мармеладу очень насыщенный вкус и запах, поэтому он вкусный.","https://svoe-rodnoe.ru/category/candy/10060-647654-marmelad-grejpfrut","https://svoe-rodnoe.ru/farmers/10060"
"10060","Экоферма ОГО-РОД","Выращиваем фрукты и ягоды в Подмосковье.Наша ферма располагается в деревне Лукино Серпуховского района. В нашем распоряжении 3 га земли, в будущем планируем засадить большую часть этого пространства яблоневыми деревьями. На данный момент у нас уже растет более 300 яблонь, а также кусты малины, смородины, ежевики. Мы очень бережно относимся к нашим яблоням, из плодов которых создаем натуральные продукты для вас. Наша ферма также предоставляет возможность для агротуризма, где все желающие могут побыть наедине с природой, а также узнать много нового об уходе за растениями. ","Москва","Сладости","Пастила (клубника)","180713","Наша пастила это:_x000D_
_x000D_
- 100% натуральный состав: натуральная вишня и яблочное пюре. Никаких искусственных добавок, красителей, ароматизаторов и сахара!_x000D_
_x000D_
- Идеально для здорового перекуса: Наша пастила – это отличный выбор для тех, кто следит за своим питанием, придерживается диеты или просто хочет насладиться чем-то вкусным без вреда для фигуры. Подходит для веганов и людей с непереносимостью глютена._x000D_
_x000D_
- Польза пастилы из клубники для организма: Натуральная клубничная пастила богата витамином С и эллаговой кислотой, что обеспечивает мощную антиоксидантную защиту. Она укрепляет иммунитет, поддерживает здоровье сосудов и улучшает состояние кожи. Ягода также способствует естественной выработке коллагена и обладает мягким противовоспалительным действием._x000D_
_x000D_
Состав: клубника, яблочное пюре._x000D_
Срок годности: 12 месяцев._x000D_
Условия хранения: Хранить при температуре от +5⁰С до +25⁰С","https://svoe-rodnoe.ru/category/pastila-i-zefir/10060-777-pastila-klubnika","https://svoe-rodnoe.ru/farmers/10060"
